0,0.0,0.0,0.0,0.01,0.01,0.01
60,0.0318433861829044,0.00967421542236546,0.00130025000627887,0.02,0.01,0.01
120,0.0171165030019442,0.0144990701214776,0.00351031127493462,0.015,0.01,0.01
300,0.0262034203538923,0.0767148925038634,0.00981787296155257,0.015,0.03,0.01
600,0.0550644267210163,0.217254785497706,0.0267688396877008,0.02,0.03,0.01
900,0.0749062230596531,0.227243061901918,0.133159505513103,0.025,0.02,0.02
1200,0.0509725894310327,0.19933669802316,0.260850132205332,0.02,0.01,0.03
1800,0.0540228779055762,0.26373634713827,0.490134665768377,0.02,0.05,0.08
2400,0.0386470078689911,0.23071521813099,0.602053036975272,0.01,0.02,0.08
3000,0.0901507880533958,0.217254195179567,0.694776244201688,0.02,0.02,0.12
3600,0.0773897638753926,0.197388213111462,0.632104276794859,0.01,0.02,0.065
