0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+01,2.974384383535630047e-02,2.095860111699330078e-02,1.769225020116230000e-03,4.706537023059626478e-03,6.765553274629021452e-03,7.128063586145785629e-06,4.999999999999999584e-02
1.200000000000000000e+02,3.207322668201299798e-02,6.215812743018520048e-02,4.847990351038330287e-03,1.734404657352561427e-02,4.151523603048611066e-02,2.233884248857473365e-04,9.999999999999999167e-02
3.000000000000000000e+02,8.205841686771539467e-02,5.579421977611359607e-01,1.193157788791190076e-02,5.923225475861997047e-02,1.899775851845332819e-01,9.993380184552643625e-03,2.499999999999999722e-01
6.000000000000000000e+02,1.683534304800310133e-01,3.896437436814380040e-01,1.947974677812009947e-01,1.073824314542489305e-01,3.410675330576800057e-01,9.179357082364136833e-02,4.999999999999999445e-01
9.000000000000000000e+02,2.368600874295299918e-01,3.917378897127600235e-01,5.429506085881870003e-01,1.201669995207356040e-01,3.918644272368109194e-01,2.565330984355625454e-01,7.500000000000000000e-01
1.200000000000000000e+03,1.576812870830250068e-01,3.361065407072370004e-01,7.221293657658239828e-01,1.046965276990166338e-01,3.787512669003298416e-01,4.622314650528039359e-01,9.999999999999998890e-01
1.800000000000000000e+03,1.207193038421039977e-01,2.472659197687510080e-01,8.050799534036100491e-01,4.779276531677591200e-02,2.550349026933100283e-01,8.140055374382101361e-01,1.500000000000000000e+00
2.400000000000000000e+03,8.769493463961899882e-02,1.647551805920469958e-01,7.947402584481579879e-01,1.300537147607665200e-02,1.294995868758908042e-01,9.288570873465962219e-01,1.999999999999999778e+00
3.000000000000000000e+03,8.788738523666130009e-02,1.115884387018060003e-01,7.472685061024000319e-01,2.334601928066785265e-03,6.606731324254443150e-02,8.331615545971851056e-01,2.500000000000000000e+00
3.600000000000000000e+03,7.084600164192210447e-02,1.007031177465499971e-01,6.667825234330629902e-01,2.994871977116975192e-04,3.967814552034759634e-02,6.534043777254880947e-01,3.000000000000000000e+00
