0.000000000000000000e+00,5.205000000000000071e+00,5.205000000000000071e+00,5.000000000000000000e+00,3.256699999999999928e+00
4.000000000000000000e+00,5.215399999999999814e+00,5.196305853436666844e+00,5.059993808974162732e+00,3.246599999999999930e+00
8.000000000000000000e+00,5.221499999999999808e+00,5.192362176414251351e+00,5.116837657563980457e+00,3.230900000000000105e+00
1.200000000000000000e+01,5.214199999999999946e+00,5.192574113777580713e+00,5.170018892698481139e+00,3.209700000000000220e+00
1.600000000000000000e+01,5.200099999999999945e+00,5.196359599266845208e+00,5.219089679982417351e+00,3.183600000000000207e+00
2.000000000000000000e+01,5.230900000000000105e+00,5.203152271753547886e+00,5.263679584367265463e+00,3.153099999999999792e+00
2.400000000000000000e+01,5.216300000000000381e+00,5.212406474666255285e+00,5.303500191409163733e+00,3.119400000000000173e+00
2.800000000000000000e+01,5.208099999999999952e+00,5.223604673232492779e+00,5.338424731052016092e+00,3.084000000000000075e+00
3.200000000000000000e+01,5.204100000000000392e+00,5.236266322091552183e+00,5.368502127828704396e+00,3.048500000000000210e+00
3.600000000000000000e+01,5.217800000000000438e+00,5.249958841261265441e+00,5.393965264716180208e+00,3.014800000000000146e+00
4.000000000000000000e+01,5.207399999999999807e+00,5.264303393925890973e+00,5.415256435726408135e+00,2.985100000000000087e+00
4.400000000000000000e+01,5.192499999999999893e+00,5.278989405337834562e+00,5.433032141039559448e+00,2.961199999999999832e+00
4.800000000000000000e+01,5.196799999999999642e+00,5.293779564684579775e+00,5.448126147272954967e+00,2.944900000000000073e+00
5.200000000000000000e+01,5.233399999999999608e+00,5.308515333913207179e+00,5.461505072133411964e+00,2.937500000000000000e+00
5.600000000000000000e+01,5.207399999999999807e+00,5.323121515335636822e+00,5.474252153173368107e+00,2.940100000000000158e+00
6.000000000000000000e+01,5.235800000000000232e+00,5.337601362802125493e+00,5.487482258976061011e+00,2.952799999999999869e+00
6.400000000000000000e+01,5.254400000000000404e+00,5.352034180777972772e+00,5.502248393602122256e+00,2.975400000000000045e+00
6.800000000000000000e+01,5.278900000000000148e+00,5.366562867454270247e+00,5.519547253732516090e+00,3.007000000000000117e+00
7.200000000000000000e+01,5.261499999999999844e+00,5.381382043632360279e+00,5.540202873415971396e+00,3.045999999999999819e+00
7.600000000000000000e+01,5.302699999999999747e+00,5.396720507304753944e+00,5.564817196005154010e+00,3.090300000000000047e+00
8.000000000000000000e+01,5.305699999999999861e+00,5.412821700330193053e+00,5.593719852725779873e+00,3.137300000000000200e+00
8.400000000000000000e+01,5.333800000000000097e+00,5.429922515655759341e+00,5.626943156822848735e+00,3.184400000000000119e+00
8.800000000000000000e+01,5.338400000000000034e+00,5.448233577556193197e+00,5.664209132836120375e+00,3.228499999999999925e+00
